,date,district,MAM_admissions,SAM_admissions
998,2020-07-01,Ceel Dheer,147.0,91.0
999,2020-08-01,Ceel Dheer,238.0,141.0
1000,2020-09-01,Ceel Dheer,287.0,155.0
1001,2020-10-01,Ceel Dheer,267.0,143.0
1002,2020-11-01,Ceel Dheer,289.0,139.0
1003,2020-12-01,Ceel Dheer,196.0,108.0
1004,2021-01-01,Ceel Dheer,230.0,108.0
1005,2021-02-01,Ceel Dheer,235.0,130.0
1006,2021-03-01,Ceel Dheer,210.0,110.0
1007,2021-04-01,Ceel Dheer,190.0,103.0
1008,2021-05-01,Ceel Dheer,161.0,98.0
1009,2021-06-01,Ceel Dheer,323.0,152.0
1010,2021-07-01,Ceel Dheer,206.0,121.0
1011,2021-08-01,Ceel Dheer,181.0,91.0
1012,2021-09-01,Ceel Dheer,135.0,87.0
1013,2021-10-01,Ceel Dheer,,
1014,2021-11-01,Ceel Dheer,,
1015,2019-01-01,Ceel Waaq,0.0,477.0
1016,2019-02-01,Ceel Waaq,0.0,718.0
1017,2019-03-01,Ceel Waaq,0.0,788.0
1018,2019-04-01,Ceel Waaq,0.0,1376.0
1019,2019-05-01,Ceel Waaq,0.0,1572.0
1020,2019-06-01,Ceel Waaq,0.0,1625.0
1021,2019-07-01,Ceel Waaq,0.0,93.0
1022,2019-08-01,Ceel Waaq,0.0,175.0
1023,2019-09-01,Ceel Waaq,0.0,163.0
1024,2019-10-01,Ceel Waaq,0.0,128.0
1025,2019-11-01,Ceel Waaq,0.0,144.0
1026,2019-12-01,Ceel Waaq,0.0,106.0
1027,2020-01-01,Ceel Waaq,0.0,80.0
1028,2020-02-01,Ceel Waaq,0.0,42.0
1029,2020-03-01,Ceel Waaq,0.0,33.0
1030,2020-04-01,Ceel Waaq,0.0,23.0
1031,2020-05-01,Ceel Waaq,0.0,33.0
1032,2020-06-01,Ceel Waaq,,
1033,2020-07-01,Ceel Waaq,0.0,51.0
1034,2020-08-01,Ceel Waaq,0.0,67.0
1035,2020-09-01,Ceel Waaq,0.0,160.0
1036,2020-10-01,Ceel Waaq,0.0,114.0
1037,2020-11-01,Ceel Waaq,0.0,171.0
1038,2020-12-01,Ceel Waaq,0.0,80.0
1039,2021-01-01,Ceel Waaq,0.0,95.0
